yearMonth,element,value,field,normalizedValue,year,month
2021-03,AL-ALUMINUM,8.0,C&H3,0.0808244089715093,2021,3
2021-03,AL-ALUMINUM,9.24,JBW,0.9399796541200408,2021,3
2021-03,AL-ALUMINUM,9.68,JK,0.2140645731977001,2021,3
2021-03,AL-ALUMINUM,6.22,KF,0.0386912167205772,2021,3
2021-03,AL-ALUMINUM,28.64,TERK,0.1300813008130081,2021,3
2021-03,B-BORON,7.62,C&H3,0.0769852495453626,2021,3
2021-03,B-BORON,10.62,JBW,1.0803662258392674,2021,3
2021-03,B-BORON,12.04,JK,0.2662538699690402,2021,3
2021-03,B-BORON,8.24,KF,0.0512565314754914,2021,3
2021-03,B-BORON,20.42,TERK,0.0927465140573193,2021,3
2021-03,CA-CALCIUM,1685.26,C&H3,17.02626793291574,2021,3
2021-03,CA-CALCIUM,3644.78,JBW,370.7812817904375,2021,3
2021-03,CA-CALCIUM,1831.44,JK,40.50066342326405,2021,3
2021-03,CA-CALCIUM,1913.24,KF,11.901219208758398,2021,3
2021-03,CA-CALCIUM,5475.22,TERK,24.868147340691287,2021,3
2021-03,CL-CHLORIDE,326.86,C&H3,3.3022832895534453,2021,3
2021-03,CL-CHLORIDE,2048.96,JBW,208.43947100712103,2021,3
2021-03,CL-CHLORIDE,1108.16,JK,24.505970809376382,2021,3
2021-03,CL-CHLORIDE,3047.58,KF,18.957327693456083,2021,3
2021-03,CL-CHLORIDE,3166.86,TERK,14.383703501839491,2021,3
2021-03,CO-COBALT,1.06,C&H3,0.0107092341887249,2021,3
2021-03,CO-COBALT,1.12,JBW,0.1139369277721261,2021,3
2021-03,CO-COBALT,1.06,JK,0.0234409553295002,2021,3
2021-03,CO-COBALT,1.46,KF,0.0090818611594924,2021,3
2021-03,CO-COBALT,6.8,TERK,0.0308852250533678,2021,3
2021-03,CU-COPPER,1.5,C&H3,0.015154576682158,2021,3
2021-03,CU-COPPER,2.1,JBW,0.2136317395727365,2021,3
2021-03,CU-COPPER,1.66,JK,0.0367094206103494,2021,3
2021-03,CU-COPPER,2.12,KF,0.0131873600398109,2021,3
2021-03,CU-COPPER,7.48,TERK,0.0339737475587046,2021,3
2021-03,EC (MS/CM),7.16,C&H3,0.0723378460295009,2021,3
2021-03,EC (MS/CM),7.52,JBW,0.7650050864699898,2021,3
2021-03,EC (MS/CM),8.62,JK,0.1906236178681999,2021,3
2021-03,EC (MS/CM),7.16,KF,0.0445384423986066,2021,3
2021-03,EC (MS/CM),17.78,TERK,0.0807557796248353,2021,3
2021-03,FE-IRON,14.8,C&H3,0.1495251565972923,2021,3
2021-03,FE-IRON,21.5,JBW,2.187182095625636,2021,3
2021-03,FE-IRON,31.58,JK,0.6983635559486953,2021,3
2021-03,FE-IRON,12.84,KF,0.0798706145807414,2021,3
2021-03,FE-IRON,85.9,TERK,0.3901530635418087,2021,3
2021-03,I-IODINE,0.84,C&H3,0.0084865629420084,2021,3
2021-03,I-IODINE,1.36,JBW,0.138351983723296,2021,3
2021-03,I-IODINE,0.5,JK,0.0110570544007076,2021,3
2021-03,I-IODINE,0.56,KF,0.0034834535954217,2021,3
2021-03,I-IODINE,3.78,TERK,0.0171685515737838,2021,3
2021-03,K-POTASSIUM,11454.56,C&H3,115.72600525358658,2021,3
2021-03,K-POTASSIUM,14195.26,JBW,1444.0752797558494,2021,3
2021-03,K-POTASSIUM,15012.5,JK,331.98805838124724,2021,3
2021-03,K-POTASSIUM,12454.3,KF,77.47138591689475,2021,3
2021-03,K-POTASSIUM,35027.26,TERK,159.09188354453377,2021,3
2021-03,MG-MAGNESIUM,2226.46,C&H3,22.49403919983835,2021,3
2021-03,MG-MAGNESIUM,2114.52,JBW,215.1088504577823,2021,3
2021-03,MG-MAGNESIUM,1651.14,JK,36.513489606368864,2021,3
2021-03,MG-MAGNESIUM,2431.82,KF,15.127021647175916,2021,3
2021-03,MG-MAGNESIUM,5425.2,TERK,24.6409592587546,2021,3
2021-03,MN-MANGANESE,6.36,C&H3,0.0642554051323499,2021,3
2021-03,MN-MANGANESE,28.1,JBW,2.858596134282808,2021,3
2021-03,MN-MANGANESE,34.5,JK,0.762936753648828,2021,3
2021-03,MN-MANGANESE,22.68,KF,0.1410798706145807,2021,3
2021-03,MN-MANGANESE,52.44,TERK,0.2381795884997956,2021,3
2021-03,MO-MOLYBDENUM,0.58,C&H3,0.0058597696504344,2021,3
2021-03,MO-MOLYBDENUM,0.22,JBW,0.022380467955239,2021,3
2021-03,MO-MOLYBDENUM,0.54,JK,0.0119416187527642,2021,3
2021-03,MO-MOLYBDENUM,0.32,KF,0.0019905449116695,2021,3
2021-03,MO-MOLYBDENUM,1.56,TERK,0.0070854339828314,2021,3
2021-03,NA-SODIUM,48.8,C&H3,0.4930288947262072,2021,3
2021-03,NA-SODIUM,70.66,JBW,7.188199389623601,2021,3
2021-03,NA-SODIUM,72.16,JK,1.5957540911101282,2021,3
2021-03,NA-SODIUM,84.34,KF,0.5246329932819109,2021,3
2021-03,NA-SODIUM,128.34,TERK,0.5829132034337103,2021,3
